,,Line Usage,"SDVInput","ETD Per Original LT
(12 working days)","ETD Per GDS LT
(17 working days)",Current SDV ETD,"Current SDV 
ETD Request",BM iPEG Quantity,FATP Dates 14 days,Actual Shipment
Mini,EMG/EMH,EGL,N/A,N/A,N/A,Delivered,Delivered,315,5/4,315
Main,ES1,EGL,4/2,N/A,N/A,4/21,Delivered,476,5/5,476
Main,ES2,EGL,4/7,4/21,4/26,5/5,5/2,500,5/19,487
Main,ES3,MP Line,4/7,4/21,4/26,5/16,5/2,1010,5/30,808
Main,ES4,MP Line,4/10,4/24,4/29,5/2,5/2,500,5/16,402
Main,ES5,MP Line,4/10,4/24,4/29,5/5,5/5,500,5/19,439
Main,ESF,EGL,4/10,4/24,4/29,5/5,5/5,600,5/19,510
Main,ESG,EGL,4/13,4/27,5/2,5/9,5/5,600,5/23,486
REL 1,ERA,EGL,4/17,5/1,5/6,5/6,5/6,600,5/20,600
Main,ESP,MP Line,4/17,5/1,5/6,5/6,5/5,800,5/20,402
REL 2,ERF,EGL,4/20,5/4,5/9,5/12,5/7,600,5/26,480
Main,ESA,MP Line,4/24,5/8,5/13,5/12,5/9,600,5/26,480
Main,ESN,MP Line,4/24,5/8,5/13,5/12,5/11,490,5/26,392
REL 3,ERC,EGL,4/25,5/9,5/14,5/13,5/12,600,5/27,480
Thin SUS Core Backup,ESJ,MP Line,4/25,5/9,5/14,5/15,5/13,1000,5/29,800
REL 4,ERD,MP Line,4/27,5/11,5/16,5/16,5/14,700,5/30,560
REL 5,ERE,EGL,4/28,5/12,5/17,5/16,5/15,600,5/30,480
REL 6,ERG,MP Line,4/28,5/12,5/17,5/16,5/15,600,5/30,480
Main,EBD,MP Line,4/28,5/12,5/17,5/16,5/15,458,5/30,366.4
Main,EBG,MP Line,4/29,5/13,5/18,5/18,5/16,600,6/1,480
Main,ESE,MP Line,4/29,5/13,5/18,5/18,5/16,600,6/1,480
Main,ES9,MP Line,4/30,5/14,5/19,5/19,5/18,854,6/2,683.2
Main,ESM,MP Line,5/1,5/15,5/20,5/20,5/18,800,6/3,640
Main,ES8,MP Line,5/2,5/16,5/21,5/21,5/19,854,6/4,683.2
Main,ES6,MP Line,5/5,5/19,5/24,5/22,5/19,800,6/5,640
Main,ESD,MP Line,5/6,5/20,5/25,5/23,5/20,600,6/6,480
Main,ESC,MP Line,5/7,5/21,5/26,5/25,5/21,600,6/8,480
Corners,ECA-ECF,MP Line,5/8,5/22,5/27,5/26,5/21,200,6/9,160
Main,ESH,MP Line,5/9,5/23,5/28,5/27,5/22,558,6/10,446.4
Main,ESK,MP Line,5/11,5/25,5/30,5/28,5/23,650,6/11,520
Total Quantity,,,,,,,4891,18665,,15136.2